text,media,category,label,url
"chelsea tampak menyindir keras enzo maresca , yang resmi jadi manajer manchester city. the blues membandingkannya dengan xabi alonso . maresca baru saja diumumkan jadi manajer city pada senin (29/6). pria italia itu dikontrak 3 tahun. sebelum diumumkan, maresca sempat membuat pernyataan soal alasan meninggalkan chelsea awal tahun ini. ia mengaku memang ingin cabut ke city dan meminta maaf karena pergi sehingga bikin tim jeblok. scroll to continue with content chelsea, di saat bersamaan, juga membuat pernyataan balasan. raksasa london itu menjelaskan kronologi kepergian maresca. dalam penutup pernyataannya, chelsea tampak menyindir enzo maresca . tak secara langsung, raksasa london barat itu justru membandingkannya dengan xabi alonso . menatap musim depan, dalam diri xabi alonso, kami memiliki seorang manajer yang memiliki kecerdasan taktis luar biasa dalam sepakbola dan merupakan seorang profesional dengan integritas tertinggi, tulis chelsea. ia memiliki semua kualitas yang diperlukan untuk meraih kesuksesan yang layak dan diharapkan oleh para pendukung klub, tutup si biru. xabi alonso resmi ditunjuk chelsea , untuk membereskan performa tim yang berantakan usai ditinggal enzo maresca . sebelumnya, alonso sempat membawa bayer leverkusen juara bundesliga. musim lalu, ia sempat dikontrak real madrid, namun cabut di pertengahan musim.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8553029/chelsea-sindir-keras-maresca-sebut-xabi-alonso-jago-taktik-dan-profesional
"enzo maresca resmi menjadi penerus pep guardiola di manchester city . dia rupanya sudah mengincar kursi pelatih the sky blues sejak masih membesut chelsea . man city mengumumkan penunjukan maresca sebagai manajer baru tim pada senin (29/6/2026) malam wib. juru taktik asal italia itu diikat kontrak selama 3 tahun di etihad stadium. maresca menjadi suksesor guardiola yang telah menangani man city selama 10 tahun. sebelum menerima tawaran the citizens , maresca sempat melatih chelsea pada 2024 hingga 2026. scroll to continue with content di chelsea maresca sukses mempersembahkan titel piala dunia antarklub 2025. keputusan mengejutkan diambilnya pada awal tahun 2026 dengan mengundurkan diri dari jabatan manajer the blues. beberapa laporan menyebut maresca cabut dari chelsea karena berselisih dengan direksi klub. london biru justru berdalih pelatih berusia 36 tahun itu meninggalkan stamford bridge karena sudah yakin bakal jadi penerus guardiola di man city. pada musim gugur tahun lalu, klub diberitahu oleh mantan pelatih kepala kami bahwa mungkin ada kesempatan baginya untuk menggantikan pep guardiola di akhir musim, begitu isi pernyataan resmi chelsea tak lama setelah maresca gabung ke man city. menjadi jelas bagi kami bahwa itu adalah keinginan kuat darinya menggantikan guardiola dan bahwa ia sepenuhnya berkomitmen untuk mengejar kesempatan tersebut, meskipun dia terikat kontrak jangka panjang yang tidak berhak dia akhiri. club statement. pada desember 2025, pelatih kepala kami secara tak terduga dan tiba-tiba mengundurkan diri dari posisinya. kami tentu merasa kecewa karena kami percaya pikiran dan hatinya terfokus pada klub lain dan kesempatan lain, meskipun baru saja tiba di chelsea setahun sebelumnya, chelsea menegaskan. chelsea juga menyebut maresca telah mengadakan kesepakatan rahasia sebelumnya dengan man city. oleh sebab itu, the blues mempersilahkan sang pelatih cabut di tengah musim demi melindungi para pemain dan penggemar.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8552996/terungkap-enzo-maresca-sudah-incar-posisi-pep-sejak-masih-di-chelsea
"kepergian enzo maresca membuat chelsea kalang kabut pada musim lalu. pelatih asal italia itu mengaku tak ada maksud untuk menjatuhkan mantan klubnya tersebut. hal itu diungkap maresca usai diresmikan sebagai manajer manchester city , senin (29/6/2026). lewat situs resmi klub, manajemen the citizens mengakui adanya manuver untuk mencari sosok pengganti pep guardiola, dan orang itu adalah maresca. pendekatan city pada maresca pada akhir tahun 2025, diyakini chelsea, telah membuat sang pelatih tidak lagi fokus untuk menangani the blues. pada akhirnya yang ditakutkan pun terjadi saat maresca memutuskan mundur pada 1 januari lalu. scroll to continue with content kepergian maresca membuat chelsea terpaksa mencari pengganti di tengah jalan. liam rosenior ditunjuk sebagai suksesor, namun hasilnya tak sesuai harapan. tanpa maresca, chelsea yang tadinya ada di urutan lima liga inggris merosot ke urutan 10 pada akhir musim lalu, sehingga absen di eropa musim depan. pada akhir desember 2025, saya membuat keputusan sulit untuk meninggalkan chelsea, ujar maresca, dikutip situs resmi city. itu murni keputusan saya. pengunduran diri saya dari chelsea membuka jalan bagi saya untuk bergabung dengan manchester city, klub yang sangat saya kenal. saya sangat gembira karena sekarang saya telah bergabung dengan manchester city. saya menyadari bahwa kepergian saya dari chelsea di tengah musim menyebabkan gangguan bagi klub dan saya meminta maaf untuk itu. bukan niat atau keinginan saya untuk seperti itu. saya diperlakukan dengan baik oleh semua orang di chelsea dan bersama-sama kami meraih kesuksesan besar dan kenangan yang akan selalu saya hargai. saya berterima kasih kepada klub, pemilik, dan para penggemar karena telah memberi saya kesempatan, tutup maresca. maresca datang melatih chelsea pada musim panas 2024 dan sukses menyumbang dua trofi, yakni conference league dan piala dunia antarklub yang semuanya diraih pada 2025. kini ia dikontrak city selama tiga tahun hingga 2029. ada kompensasi untuk the blues untuk memuluskan kepindahan ini.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8552949/bukan-maksud-maresca-untuk-hancurkan-chelsea
"enzo maresca telah resmi menjadi manajer manchester city . untuk memuluskan penunjukan ini, ada sejumlah kompensasi yang harus diberikan kedua pihak kepada chelsea . maresca diketahui meninggalkan chelsea pada 1 januari 2026 menyusul konflik internal dengan direksi klub. sejumlah media terpercaya menulis pelatih asal italia itu mendapat tawaran untuk bergabung dengan city pada akhir tahun lalu. pada senin (29/6), hari yang sama dengan pengumuman maresca oleh city, chelsea menjelaskan lewat situs resmi klub mengenai apa yang terjadi di balik layar pada periode tersebut dan mengonfirmasi adanya manuver city yang dinilai telah mengganggu fokus maresca. scroll to continue with content pada musim gugur tahun lalu, klub diberitahu oleh mantan pelatih kepala kami (maresca) bahwa mungkin ada kesempatan baginya untuk menggantikan pep guardiola di akhir musim. jelas bagi kami bahwa itu adalah keinginan kuatnya untuk menggantikan guardiola dan bahwa ia berkomitmen penuh untuk mengejar kesempatan itu, meskipun ia terikat kontrak jangka panjang yang tidak berhak ia akhiri, tulis pernyataan chelsea. pada desember 2025, pelatih kepala kami secara tak terduga dan tiba-tiba mengundurkan diri dari posisinya. jelas, kami merasa kecewa karena kami percaya bahwa pikiran dan hatinya terfokus pada klub lain dan kesempatan lain, meskipun baru saja tiba di chelsea setahun sebelumnya. tidak ada klub yang ingin mengganti pelatih kepalanya di tengah musim. namun, mengingat keputusannya untuk tidak melanjutkan tanggung jawabnya hingga akhir musim, klub tidak punya pilihan selain melindungi para pemain, pendukung, dan nama klub serta menerima pengunduran dirinya. sementara itu, city pun mengonfirmasi kronologi yang ditulis chelsea lewat pernyataan resmi di situs mereka. dua pengumuman yang muncul bersamaan ini diduga menjadi kesepakatan kedua pihak agar proses kepindahan ini berjalan mulus dan publik tak lagi bertanya-tanya. kami dapat mengkonfirmasi bahwa percakapan rahasia telah terjadi antara perwakilan dari city dan enzo maresca pada musim gugur dan musim dingin 2025, saat ia menjabat sebagai pelatih kepala chelsea mengenai kemungkinan ia kembali ke city dalam kapasitas kepemimpinan transisi sebagai pelatih jika pep guardiola memutuskan untuk pergi, tulis city. kami mengakui pernyataan chelsea mengenai konteks kepergian enzo dari chelsea. kami juga mengakui konteks di mana izin untuk diskusi diberikan, dan kami menyadari bahwa kepergiannya di tengah musim mengganggu musim chelsea. saat maresca pergi, chelsea ada di urutan lima premier league dan stabil di papan atas fase grup liga champions. setelahnya, chelsea melorot hingga finis di urutan 10 premier league sehingga absen di eropa musim depan. mereka pun babak belur di 16 besar liga champions di tangan paris saint-germain. mengingat maresca pergi saat masih terikat kontrak hingga juni 2029, maka chelsea pun meminta ganti rugi saat ia hendak bergabung dengan city. dengan begitu, maresca bisa lepas ikatan sepenuhnya dari the blues. dalam situasi ini dan mengingat rasa saling menghormati antar klub, kesepakatan rahasia telah tercapai dengan manchester city, yang mencakup pembayaran kompensasi. kesepakatan rahasia juga telah tercapai dengan mantan pelatih kepala di mana ia akan membayar kompensasi, tulis chelsea. pernyataan itu juga dikonfirmasi city. setelah persyaratan disepakati dengan enzo maresca, manchester city dan chelsea mencapai kesepakatan bersama dengan chelsea akan menerima kompensasi. tak diungkap berapa nilai yang dikeluarkan city, namun sky sport italia menyebut lebih dari 17 juta pound atau lebih dari 400 miliar rupiah. chelsea musim depan akan dilatih xabi alonso.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8552923/city-akui-dekati-maresca-sejak-masih-di-chelsea-setuju-bayar-kompensasi
"manchester city resmi mengumumkan enzo maresca sebagai manajer yang baru. ia kembali ke the citizens untuk ketiga kalinya dengan peran yang berbeda. penunjukan maresca diumumkan city pada senin (29/6) malam wib. juru taktik asal italia itu dikontrak selama tiga tahun hingga musim panas 2029. enzo adalah seseorang yang selalu mencari peluang untuk menantang dirinya sendiri dan meraih kesuksesan dalam karier manajerialnya. ia membawa kepribadian, semangat, dan kecerdasan yang sepenuhnya selaras dengan kebutuhan kami, ujar chairman city, khaldoon al mubarak. scroll to continue with content ia bergabung kembali dengan tim yang sepenuhnya sejalan dengan ambisi dan keinginannya untuk meraih prestasi, dan kembalinya ia ke manchester city merupakan langkah selanjutnya yang wajar dan disambut baik bagi dirinya dan klub. enzo mewarisi skuad dan organisasi sepak bola yang sangat cocok untuk mencerminkan dan mengembangkan gaya sepak bolanya, dan kami semua sangat menantikan dampak yang dapat ia berikan dalam membangun kesuksesan klub lebih lanjut, jelas khaldoon. city bukan tempat yang asing untuk maresca. ia pernah menjadi manajer elite development squad (semacam tim u-23) pada 2020-2021, lalu sebagai asisten pep guardiola di tim utama pada 2022-2023. ia pun sukses meraih gelar dalam dua jabatan itu. bersama eds, maresca meraih gelar liga. saat menjadi asisten guardiola, ia merupakan bagian tim yang memenangi premier league, piala fa, dan juga liga champions. diharapkan ia bisa kembali menyumbang gelar sebagai manajer. ini akan menjadi periode ketiga saya di sini. saya mengenal klub ini, saya tahu tuntutannya, dan saya tahu ekspektasinya, ujar maresca. kualitas orang-orang yang bekerja di sini adalah yang membuatnya begitu istimewa, dan saya ingin berterima kasih kepada mereka karena telah menunjukkan kepercayaan pada kemampuan saya. saya tidak sabar untuk mulai melatih para pemain. saya ingin kita menang, bermain sepak bola yang bagus, dan menikmati tekanan mewakili manchester city, tegasnya. maresca sebelum ini melatih chelsea. ia sukses memenangi conference league dan piala dunia antarklub pada 2025 lalu, namun pergi dari stamford bridge pada awal tahun baru 2026 karena perselisihan dengan direksi klub. city baru saja berpisah dengan guardiola yang telah menangani tim utama selama 10 tahun. di bawah arahan pelatih asal spanyol itu, the citizens memenangi 20 trofi.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8552883/enzo-maresca-resmi-menjadi-manajer-manchester-city
"juergen klopp enggan menghakimi musim liverpool yang buruk pada 2025/26. ia juga memberikan dukungannya kepada manajer baru liverpool, andoni iraola . usai jadi juara premier league 2024/25, liverpool kemudian justru terseok-seok musim lalu. the reds pada akhirnya finis kelima setelah kalah 12 kali. hasil mengecewakan tersebut berujung pada pemecatan arne slot . posisinya kini telah digantikan oleh iraola. scroll to continue with content tidak tahu. saya tidak cukup dekat untuk menilainya. saya senang banget ketika mereka juara liga semusim sebelumnya dan saya tidak tahu apa yang salah di musim berikutnya, ujar klopp kepada espn saat ditanya kenapa liverpool bisa anjlok musim lalu. jadi saya kira tidak ada yang sangat senang dengan musim kemarin. itu jelas, tapi mereka lolos ke liga champions dan itu kesuksesan besar. klopp menilai iraola tidak kalah hebat dari slot. bagaimanapun, menurutnya, iraola dan liverpool butuh keberuntungan agar awet suksesnya. jadi sekarang kalian bisa jalan lagi dan punya manajer baru dan andoni iraola itu pelatih hebat juga, seperti arne slot, tapi harus ngeklik. semuanya harus nyetel untuk waktu yang lama dan untuk itu anda butuh keberuntungan, lanjutnya. ada situasi di liverpool musim lalu dan siapa pun tidak menduga ini akan terjadi dan menghadapi hal-hal seperti ini itu sulit, ucapnya merujuk pada kematian diogo jota. saya tidak tahu persis apa yang terjadi tapi musim lalu sudah lewat juga dan sekarang mereka bisa menatap masa depan, kata klopp.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8551977/liverpool-jeblok-musim-lalu-klopp-enggan-menghakimi
"liverpool harus siap-siap gigit jari. yan diomande dilaporkan lebih memilih gabung paris saint-germain dan negosiasi antarklub sedang berjalan. diomande menjadi target besar liverpool musim panas ini menyusul kepergian mohamed salah. winger 19 tahun itu diproyeksikan untuk mengisi posisi yang ditinggalkan salah. scroll to continue with content penawaran sebesar 86 juta paun disiapkan, tapi rb leipzig selaku pemilik diomande menginginkan lebih. mereka mematok harga hingga 112 juta paun. keengganan liverpool membayar lebih ini yang disebut sky sports membuka jalan untuk psg. terlebih, mereka sudah lebih dulu mengamankan kesepakatan personal dengan diomande untuk kontrak berdurasi lima tahun. diomande menjadi salah satu pemain muda paling dibicarakan menuju musim panas ini. ia musim lalu menyumbang 12 gol dan delapan asis dari 33 penampilan di bundesliga. liverpool yang memulai era baru bersama andoni iraola ingin punya kecepatan lebih baik di lini serangnya. mereka sebelumnya sudah merekrut victor munoz dari osasuna.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8551633/diomande-lebih-pilih-psg-liverpool-gigit-jari
"chelsea sudah melayangkan penawaran buat granit xhaka . upaya the blues langsung ditolak mentah-mentah sunderland . menurut laporan athletic lewat jurnalis david ornstein, chelsea disebut mengajukan penawaran senilai 8 juta paun dilayangkan pada sabtu (27/6). sunderland langsung menolaknya. scroll to continue with content sunderland menilai tawaran itu dirasa kurang menghormati xhaka atau klub. alhasil, upaya pertama chelsea mendatangkan xhaka gagal terwujud, meski sudah mencapai kesepakatan verbal dengan sang pemain. xhaka menjadi incaran xabi alonso, yang kini jadi manajer chelsea. keduanya pernah bekerja sama di bayer leverkusen, dan memenangkan titel bundesliga, dfb pokal, dan piala super jerman pada musim 2023/2024. granit xhaka menjadi andalan alonso di leverkusen. gelandang bertahan itu jadi metronom di lini tengah, sebelum cabut kembali ke inggris musim lalu. xhaka sempat bermain di liga inggris untuk arsenal pada tahun 2016 hingga 2023. ia punya catatan 297 laga dan bikin 23 gol, membantu the gunners memenangkan dua gelar piala fa dan dua community shield. musim lalu, ia membela sunderland, dan membantunya finis ke-7 di klasemen liga inggris. the black cats menuntaskan kompetisi di atas chelsea, yang finis di peringkat 10. andai gabung chelsea , granit xhaka akan berseragam klub rival arsenal, mengikuti jejak ashley cole, olivier giroud, dan pierre-emerick aubameyang.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8551462/chelsea-sudah-tawar-granit-xhaka-ditolak-mentah-mentah-sunderland
"chelsea kembali berburu pemain di bursa transfer musim panas ini. the blues kali ini lagi mengurus kepindahan gelandang sunderland granit xhaka . dikutip the athletic, chelsea mendekati xhaka karena permintaan sang manajer xabi alonso. alonso dan xhaka pernah bekerja bareng di bayer leverkusen selama dua musim. mereka memberikan gelar bundesliga dan dfb-pokal untuk leverkusen yang mengakhiri musim 2023/2024 tanpa terkalahkan. xhaka dianggap bisa jadi mentor untuk para pemain muda chelsea terutama di lini tengah. scroll to continue with content alonso berharap manajemen chelsea mau merealisasikan kepindahan xhaka. meski demikian, mendapatkan xhaka tidak mudah karena sunderland mengikatnya dengan kontrak sampai 2028. apalagi the black cats memboyong dengan banderol 20 juta euro dan berstatus kapten tim. dia juga membantu sunderland finis ketujuh di premier league sehingga lolos ke liga europa. sudah pasti sunderland tidak mau kehilangan begitu saja sosok seperti xhaka. apalagi chelsea kabarnya tidak mau membayar mahal untuk pemain yang berusia 34 tahun itu. namun, dengan potensi kehilangan enzo fernandez ke real madrid, chelsea tentu tak mau kehilangan kesempatan menggaet xhaka.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8550996/chelsea-mau-gaet-granit-xhaka
"ceo manchester united omar berrada mengatakan, kegagalan ruben amorim tak berkaitan dengan bakatnya. hanya saja amorim terlalu keras kepala dengan taktiknya. manajer muda portugal itu datang ke mu dengan reputasi sebagai salah satu juru taktik muda berbakat di eropa. amorim pernah mengantar sporting cp memenangi empat piala domestik dalam empat tahun. scroll to continue with content namun, amorim justru terjun bebas bersama setan merah. di musim debutnya, mu-nya amorim hancur lebur setelah finis ke-15 di premier league 2024/2025, posisi terendah klub di liga selama lebih dari lima dekade. manchester united akhirnya memutuskan memberhentikan ruben amorim usai hasil imbang 1-1 melawan leeds united pada awal januari silam. berrada memastikan, amorim mesti dipecat karena menolak beradaptasi terkait taktik padahal sangat diperlukan. bukan soal taktik atau bakat. kekakuan, ucap berrada dalam acara financial times weekend, yang dilansir mirror. si pelatih kan datang di tengah-tengah musim tanpa menjalani pramusim untuk mempersiapkan, dan di bawah sorotan terus-menerus, dia terlalu berpegang teguh pada ide-idenya tepat pada saat adaptasi sangat penting. ruben amorim meninggalkan old trafford setelah 63 pertandingan dengan 23 kemenangan, 18 seri, dan 21 kalah. dengan hanya membukukan 38 persen kemenangan, amorim jadi manajer permanen mu dengan persentase kemenangan terendah sejak sir alex ferguson pensiun. amorim kini meneruskan kariernya ke italia dengan melatih ac milan.",Detik,Liga Inggris,0,https://sport.detik.com/sepakbola/liga-inggris/d-8550040/ceo-mu-amorim-gagal-karena-ogah-adaptasi
